_,19.1.33,0
_,22.1.44,0
_,22.2.45,0
_,22.3.46,0
_,23.1.47,0
_,24.1.48,0
_,25.1.49,0
_,26.1.50,0
_,26.2.51,0
_,26.3.52,0
_,27.1.53,0
_,28.1.54,0
_,28.2.55,0
_,28.3.56,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,1
8.1.8,8.1.8,1
9.1.9,9.1.9,1
10.1.10,10.1.10,1
10.2.11,10.2.11,1
10.3.12,10.3.12,1
10.4.13,10.4.13,1
10.5.14,10.5.14,1
11.1.15,11.1.15,1
12.1.16,12.1.16,1
12.2.17,12.2.17,1
12.3.18,12.3.18,1
13.1.19,13.1.19,1
14.1.20,14.1.20,1
15.1.21,15.1.21,1
15.2.22,15.2.22,1
15.3.23,15.3.23,1
15.4.24,15.4.24,1
15.5.25,15.5.25,1
16.1.26,16.1.26,1
17.1.27,17.1.27,1
18.1.28,18.1.28,1
18.2.29,18.2.29,1
18.3.30,18.3.30,1
18.4.31,18.4.31,1
18.5.32,18.5.32,1
19.1.33,20.1.34,1
20.1.34,21.1.35,1
20.2.35,21.2.36,1
20.3.36,21.3.37,1
20.4.37,21.4.38,1
20.5.38,21.5.39,1
20.6.39,21.6.40,1
20.7.40,21.7.41,1
20.8.41,21.8.42,1
20.9.42,21.9.43,0.61527973
