_,18.1.76,0
_,18.2.77,0
_,18.3.78,0
_,18.4.79,0
_,18.5.80,0
_,23.1.85,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
4.2.5,4.2.5,1
4.3.6,4.3.6,1
4.4.7,4.4.7,1
4.5.8,4.5.8,1
4.6.9,4.6.9,1
4.7.10,4.7.10,1
5.1.11,5.1.11,1
6.1.12,6.1.12,1
6.2.13,6.2.13,1
6.3.14,6.3.14,1
6.4.15,6.4.15,1
6.5.16,6.5.16,1
6.6.17,6.6.17,1
6.7.18,6.7.18,1
6.8.19,6.8.19,1
7.1.20,7.1.20,1
8.1.21,8.1.21,1
9.1.22,9.1.22,1
9.2.23,9.2.23,1
9.3.24,9.3.24,1
9.4.25,9.4.25,1
9.5.26,9.5.26,1
9.6.27,9.6.27,1
9.7.28,9.7.28,1
9.8.29,9.8.29,1
9.9.30,9.9.30,1
9.10.31,9.10.31,1
9.11.32,9.11.32,1
9.12.33,9.12.33,1
9.13.34,9.13.34,1
9.14.35,9.14.35,1
9.15.36,9.15.36,1
9.16.37,9.16.37,1
9.17.38,9.17.38,1
10.1.39,10.1.39,1
10.2.40,10.2.40,1
10.3.41,10.3.41,1
10.4.42,10.4.42,1
10.5.43,10.5.43,1
10.6.44,10.6.44,1
10.7.45,10.7.45,1
10.8.46,10.8.46,1
10.9.47,10.9.47,1
10.10.48,10.10.48,1
10.11.49,10.11.49,1
11.1.50,11.1.50,1
12.1.51,12.1.51,1
13.1.52,13.1.52,1
14.1.53,14.1.53,1
15.1.54,15.1.54,1
16.1.55,16.1.55,1
16.2.56,16.2.56,1
16.3.57,16.3.57,1
16.4.58,16.4.58,1
16.5.59,16.5.59,1
17.1.60,17.1.60,1
17.2.61,17.2.61,1
17.3.62,17.3.62,1
17.4.63,17.4.63,1
17.5.64,17.5.64,1
17.6.65,17.6.65,1
17.7.66,17.7.66,1
17.8.67,17.8.67,1
17.9.68,17.9.68,1
17.10.69,17.10.69,1
17.11.70,17.11.70,1
17.12.71,17.12.71,1
17.13.72,17.13.72,1
17.14.73,17.14.73,1
17.15.74,17.15.74,1
17.16.75,17.16.75,1
18.1.76,19.1.81,1
19.1.77,20.1.82,1
20.1.78,21.1.83,1
21.1.79,22.1.84,1
22.1.80,24.1.86,0.8273308
23.1.81,25.1.87,1
24.1.82,26.1.88,0.7700224
25.1.83,27.1.89,1
26.1.84,28.1.90,1
27.1.85,29.1.91,1
28.1.86,30.1.92,1
29.1.87,31.1.93,1
29.2.88,31.2.94,1
29.3.89,31.3.95,1
