_,12.8.27,0
_,17.1.37,0
_,17.4.40,0
_,17.5.41,0
_,17.6.42,0
_,25.6.56,0
1.1.1,1.1.1,0.98153853
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,0.98604655
5.4.8,5.4.8,1
5.5.9,5.5.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,1
8.1.12,8.1.12,1
9.1.13,9.1.13,1
9.2.14,9.2.14,1
9.3.15,9.3.15,1
10.1.16,10.1.16,0.98273385
11.1.17,11.1.17,1
11.2.18,11.2.18,1
11.3.19,11.3.19,1
12.1.20,12.1.20,1
12.2.21,12.2.21,1
12.3.22,12.3.22,1
12.4.23,12.4.23,1
12.5.24,12.5.24,1
12.6.25,12.6.25,1
12.7.26,12.7.26,1
12.8.27,_,0
13.1.28,13.1.28,1
13.2.29,13.2.29,1
13.3.30,13.3.30,1
14.1.31,14.1.31,1
15.1.32,15.1.32,1
15.2.33,15.2.33,1
15.3.34,15.3.34,1
15.4.35,15.4.35,1
16.1.36,16.1.36,0.855994
17.1.37,17.2.38,1
17.2.38,17.3.39,1
17.3.39,_,0
18.1.40,18.1.43,1
19.1.41,19.1.44,0.86978805
20.1.42,20.1.45,1
20.2.43,20.2.46,1
21.1.44,21.1.47,0.9631634
22.1.45,22.1.48,1
23.1.46,23.1.49,1
24.1.47,24.1.50,0.9708921
25.1.48,25.1.51,0.93109757
25.2.49,25.2.52,1
25.3.50,25.3.53,1
25.4.51,25.4.54,1
25.5.52,25.5.55,1
25.6.53,_,0
26.1.54,26.1.57,1
26.2.55,26.2.58,1
26.3.56,26.3.59,1
26.4.57,26.4.60,1
26.5.58,26.5.61,1
26.6.59,26.6.62,1
27.1.60,27.1.63,1
28.1.61,28.1.64,0.90749335
29.1.62,29.1.65,0.9780187
30.1.63,30.1.66,1
31.1.64,31.1.67,1
32.1.65,32.1.68,1
