_,1.1.1,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,1
4.1.8,4.1.4,1
5.1.9,5.1.5,0.88370115
6.1.10,6.1.6,1
7.1.11,7.1.7,1
8.1.12,8.1.8,1
9.1.13,9.1.9,1
10.1.14,10.1.10,1
11.1.15,11.1.11,0.991892
11.2.16,11.2.12,1
11.3.17,11.3.13,1
11.4.18,11.4.14,1
11.5.19,11.5.15,1
11.6.20,11.6.16,1
11.7.21,11.7.17,1
11.8.22,11.8.18,1
12.1.23,12.1.19,1
12.2.24,12.2.20,1
12.3.25,12.3.21,0.97142863
13.1.26,13.1.22,1
14.1.27,14.1.23,1
14.2.28,14.2.24,1
15.1.29,15.1.25,1
16.1.30,16.1.26,0.9709529
17.1.31,17.1.27,1
17.2.32,17.2.28,1
17.3.33,17.3.29,1
18.1.34,18.1.30,0.9753585
18.2.35,18.2.31,1
19.1.36,19.1.32,1
19.2.37,19.2.33,0.9713132
19.3.38,19.3.34,1
20.1.39,20.1.35,1
21.1.40,21.1.36,0.97694683
22.1.41,22.1.37,1
23.1.42,23.1.38,1
24.1.43,24.1.39,1
25.1.44,25.1.40,0.9876935
26.1.45,26.1.41,1
26.2.46,26.2.42,1
26.3.47,26.3.43,1
27.1.48,27.1.44,0.98258686
27.2.49,27.2.45,1
27.3.50,27.3.46,0.99287343
28.1.51,28.1.47,1
29.1.52,29.1.48,1
30.1.53,30.1.49,1
30.2.54,30.2.50,1
30.3.55,30.3.51,0.94285715
31.1.56,31.1.52,1
32.1.57,32.1.53,1
33.1.58,33.1.54,1
34.1.59,34.1.55,1
35.1.60,35.1.56,0.9835404
36.1.61,36.1.57,1
37.1.62,37.1.58,0.94994533
38.1.63,38.1.59,1
38.2.64,38.2.60,1
39.1.65,39.1.61,1
40.1.66,40.1.62,0.7734206
41.1.67,41.1.63,1
41.2.68,41.2.64,1
42.1.69,42.1.65,1
43.1.70,43.1.66,1
44.1.71,44.1.67,0.99736845
45.1.72,45.1.68,1
45.2.73,45.2.69,1
45.3.74,45.3.70,1
45.4.75,45.4.71,1
45.5.76,45.5.72,1
45.6.77,45.6.73,1
46.1.78,46.1.74,1
46.2.79,46.2.75,1
46.3.80,46.3.76,1
46.4.81,46.4.77,1
46.5.82,46.5.78,1
46.6.83,46.6.79,1
47.1.84,47.1.80,0.9830159
48.1.85,48.1.81,1
48.2.86,48.2.82,1
49.1.87,49.1.83,0.96553373
50.1.88,50.1.84,1
50.2.89,50.2.85,1
51.1.90,51.1.86,0.9613334
52.1.91,52.1.87,1
52.2.92,52.2.88,1
